word1	word2	score
מחשב	מקלדת	7.62
ירושלים	ישראל	8.46
כוכב לכת	גלקסיה	8.11
קניון	נוף	7.53
אופק	מדינה	5.63
יום	קיץ	3.94
יום	שחר	7.53
מדינה	אזרח	7.31
כוכב לכת	אנשים	5.75
סביבה	אקולוגיה	8.81
מרדונה	כדורגל	8.62
אופק	נפט	8.59
כסף	בנק	8.5
מחשב	תוכנה	8.5
חוק	עורך דין	8.38
מזג אוויר	תחזית	8.34
רשת	חומרה	8.31
טבע	סביבה	8.31
FBI	חקירה	8.31
כסף	עושר	8.27
פסיכולוגיה	פרויד	8.21
חדשות	דיווח	8.16
מלחמה	כוחות	8.13
פיזיקה	פרוטון	8.12
בנק	כסף	8.12
מניה	שוק	8.08
כוכב לכת	קבוצת כוכבים	8.06
אשראי	כרטיס	8.06
מלון	הזמנה	8.03
ארון	בגדים	8
סבון	אופרה	7.94
כוכב לכת	אסטרונום	7.94
כוכב לכת	חלל	7.92
סרט	תיאטרון	7.92
טיפול	החלמה	7.91
תינוק	אמא	7.85
כסף	הפקדה	7.73
טלוויזיה	סרט	7.72
פסיכולוגיה	תודעה	7.69
משחק	קבוצה	7.69
כניסה	כרטיס	7.69
ירושלים	פלסטיני	7.65
ערפאת	טרור	7.65
איגרוף	סיבוב	7.61
מחשב	אינטרנט	7.58
כסף	רכוש	7.57
טניס	מחבט	7.56
טלפון	תקשורת	7.5
מטבע	שוק	7.5
פסיכולוגיה	קוגניציה	7.48
פירות ים	ים	7.47
ספר	נייר	7.46
ספר	ספרייה	7.46
פסיכולוגיה	דיכאון	7.42
לחימה	הבסה	7.41
סרט	כוכב	7.38
מאה	אחוז	7.38
דולר	רווח	7.38
כסף	חזקה	7.29
כוס	משקה	7.25
פסיכולוגיה	בריאות	7.23
קיץ	בצורת	7.16
משקיע	רווחים	7.13
חברה	מניה	7.08
שבץ	בית חולים	7.03
חבות	ביטוח	7.03
משחק	ניצחון	7.03
פסיכולוגיה	חרדה	7
משחק	תבוסה	6.97
FBI	טביעת אצבע	6.94
כסף	משיכה	6.88
פסיכולוגיה	פחד	6.85
סם	שימוש לרעה	6.85
קונצרט	וירטואוז	6.81
מחשב	מעבדה	6.78
אהבה	סקס	6.77
בעיה	אתגר	6.75
סרט	מבקר	6.73
ערפאת	שלום	6.73
מיטה	ארון	6.72
עורך דין	ראיות	6.69
פוריות	ביצה	6.69
תקדים	חוק	6.65
שר	מפלגה	6.63
פסיכולוגיה	מרפאה	6.58
כוס	קפה	6.58
מים	חלחול	6.56
ממשלה	משבר	6.56
חלל	עולם	6.53
דיבידנד	חישוב	6.48
קורבן	חירום	6.47
יוקרה	מכונית	6.47
כלי	מכשיר	6.46
תחרות	מחיר	6.44
פסיכולוגיה	רופא	6.42
מגדר	שוויון	6.41
רישום	קטגוריה	6.38
וידאו	ארכיון	6.34
נפט	מלאי	6.34
מושל	משרד	6.34
גילוי	חלל	6.34
שיא	מספר	6.31
אח	נזיר	6.27
ייצור	צוות	6.25
טבע	אדם	6.25
משפחה	תכנון	6.25
אסון	אזור	6.25
אוכל	הכנה	6.22
שימור	עולם	6.19
סרט	פופקורן	6.19
מאהב	מריבה	6.19
משחק	סדרה	6.19
דולר	הפסד	6.09
נשק	סוד	6.06
מקלחת	שיטפון	6.03
הרשמה	הסדר	6
הגעה	מלון	6
הכרזה	אזהרה	6
משחק	סיבוב	5.97
בייסבול	עונה	5.97
משקה	פה	5.96
חים	שיעור	5.94
מכולת	כסף	5.94
אנרגיה	משבר	5.94
סיבה	קריטריון	5.91
ציוד	יצרן	5.91
כוס	נוזל	5.9
פריסה	נסיגה	5.88
טיגריס	גן חיות	5.87
מסע	מכונית	5.85
כסף	הלבנה	5.65
קיץ	טבע	5.63
עיטור	גבורה	5.63
מאדים	מדען	5.63
אלכוהול	כימיה	5.54
נכות	מוות	5.47
שינוי	גישה	5.44
הסדר	לינה	5.41
טריטוריה	שטח	5.34
גודל	בולטות	5.31
מוצג	מזכרות	5.31
אשראי	מידע	5.31
טריטוריה	קילומטר	5.28
מוות	שורה	5.25
רופא	חבות	5.19
ניטרליות	אינטרס	5.16
אנרגיה	מעבדה	5.09
מזכיר	סנאט	5.06
מוות	אסיר	5.03
נזיר	אורקל	5
כוס	אוכל	5
כתב עת	איגוד	4.97
רחוב	ילדים	4.94
מכונית	טיסה	4.94
חלל	כימיה	4.88
מצב	מסקנה	4.81
מילה	דמיון	4.75
שלום	תוכנית	4.75
צרכן	אנרגיה	4.75
משרד	תרבות	4.69
חכם	סטודנט	4.62
חקירה	מאמץ	4.59
תמונה	משטח	4.56
חיים	תקופה	4.5
התחלה	משחק	4.47
מחשב	חדשות	4.47
ועדה	המלצה	4.47
נער	אח	4.46
תצפית	אדריכלות	4.38
חוף	גבעה	4.38
פריסה	עזיבה	4.25
מדד	אינדקס	4.25
ניסיון	שלום	4.25
צרכן	אמון	4.13
התחלה	שנה	4.06
מיקוד	חיים	4.06
פיתוח	סוגיה	3.97
תיאטרון	היסטוריה	3.91
מצב	בידוד	3.88
רווח	אזהרה	3.88
תקשורת	מסחר	3.88
סיכוי	אמינות	3.88
